X,Y,Z
516399.0612,5258439.918,385
516399.0612,5259015.857,378
516399.0612,5259591.796,422
516399.0612,5260167.735,477
516399.0612,5260743.673,595
516399.0612,5261319.612,639
516399.0612,5261895.551,575
516399.0612,5262471.49,606
516399.0612,5263047.429,574
516399.0612,5263623.367,563
516399.0612,5264199.306,427
516399.0612,5264775.245,435
516399.0612,5265351.184,370
516399.0612,5265927.122,289
516399.0612,5266503.061,149
516399.0612,5267079,65
517007.6939,5238858,129
517007.6939,5239433.939,177
517007.6939,5240009.878,153
517007.6939,5240585.816,142
517007.6939,5241161.755,188
517007.6939,5241737.694,175
517007.6939,5242313.633,192
517007.6939,5242889.571,253
517007.6939,5243465.51,255
517007.6939,5244041.449,258
517007.6939,5244617.388,290
517007.6939,5245193.327,374
517007.6939,5245769.265,362
517007.6939,5246345.204,414
517007.6939,5246921.143,626
517007.6939,5247497.082,772
517007.6939,5248073.02,968
517007.6939,5248648.959,1106
517007.6939,5249224.898,1088
517007.6939,5249800.837,1092
517007.6939,5250376.776,1145
517007.6939,5250952.714,1206
517007.6939,5251528.653,1191
517007.6939,5252104.592,1042
517007.6939,5252680.531,876
517007.6939,5253256.469,806
517007.6939,5253832.408,669
517007.6939,5254408.347,668
517007.6939,5254984.286,694
517007.6939,5255560.224,775
517007.6939,5256136.163,518
517007.6939,5256712.102,478
517007.6939,5257288.041,467
517007.6939,5257863.98,417
517007.6939,5258439.918,282
517007.6939,5259015.857,300
517007.6939,5259591.796,268
517007.6939,5260167.735,381
517007.6939,5260743.673,479
517007.6939,5261319.612,438
517007.6939,5261895.551,439
517007.6939,5262471.49,395
517007.6939,5263047.429,409
517007.6939,5263623.367,400
517007.6939,5264199.306,264
517007.6939,5264775.245,364
517007.6939,5265351.184,360
517007.6939,5265927.122,152
517007.6939,5266503.061,104
517007.6939,5267079,30
517616.3265,5238858,109
517616.3265,5239433.939,110
517616.3265,5240009.878,129
517616.3265,5240585.816,100
517616.3265,5241161.755,201
517616.3265,5241737.694,224
517616.3265,5242313.633,250
517616.3265,5242889.571,220
517616.3265,5243465.51,274
517616.3265,5244041.449,329
517616.3265,5244617.388,353
